PING 10.10.6.1 (10.10.6.1) 56(84) bytes of data.
64 bytes from 10.10.6.1: icmp_seq=1 ttl=63 time=5758 ms
64 bytes from 10.10.6.1: icmp_seq=7 ttl=63 time=0.031 ms
64 bytes from 10.10.6.1: icmp_seq=4 ttl=63 time=3202 ms
64 bytes from 10.10.6.1: icmp_seq=2 ttl=63 time=5844 ms
64 bytes from 10.10.6.1: icmp_seq=8 ttl=63 time=0.034 ms
64 bytes from 10.10.6.1: icmp_seq=3 ttl=63 time=5354 ms
64 bytes from 10.10.6.1: icmp_seq=9 ttl=63 time=0.061 ms
64 bytes from 10.10.6.1: icmp_seq=5 ttl=63 time=4792 ms
64 bytes from 10.10.6.1: icmp_seq=6 ttl=63 time=4226 ms
64 bytes from 10.10.6.1: icmp_seq=10 ttl=63 time=966 ms
64 bytes from 10.10.6.1: icmp_seq=11 ttl=63 time=0.076 ms
64 bytes from 10.10.6.1: icmp_seq=12 ttl=63 time=0.559 ms
64 bytes from 10.10.6.1: icmp_seq=13 ttl=63 time=0.225 ms
64 bytes from 10.10.6.1: icmp_seq=14 ttl=63 time=0.041 ms
64 bytes from 10.10.6.1: icmp_seq=15 ttl=63 time=0.036 ms
64 bytes from 10.10.6.1: icmp_seq=16 ttl=63 time=0.036 ms
64 bytes from 10.10.6.1: icmp_seq=17 ttl=63 time=0.045 ms
64 bytes from 10.10.6.1: icmp_seq=18 ttl=63 time=0.031 ms
64 bytes from 10.10.6.1: icmp_seq=19 ttl=63 time=0.090 ms
64 bytes from 10.10.6.1: icmp_seq=20 ttl=63 time=0.083 ms
64 bytes from 10.10.6.1: icmp_seq=21 ttl=63 time=0.035 ms
64 bytes from 10.10.6.1: icmp_seq=22 ttl=63 time=0.087 ms
64 bytes from 10.10.6.1: icmp_seq=23 ttl=63 time=0.497 ms
64 bytes from 10.10.6.1: icmp_seq=24 ttl=63 time=0.111 ms
64 bytes from 10.10.6.1: icmp_seq=25 ttl=63 time=0.141 ms
64 bytes from 10.10.6.1: icmp_seq=26 ttl=63 time=0.260 ms
64 bytes from 10.10.6.1: icmp_seq=27 ttl=63 time=0.035 ms
64 bytes from 10.10.6.1: icmp_seq=28 ttl=63 time=0.071 ms
64 bytes from 10.10.6.1: icmp_seq=29 ttl=63 time=0.417 ms
64 bytes from 10.10.6.1: icmp_seq=30 ttl=63 time=0.049 ms
64 bytes from 10.10.6.1: icmp_seq=31 ttl=63 time=0.026 ms
64 bytes from 10.10.6.1: icmp_seq=32 ttl=63 time=0.042 ms
64 bytes from 10.10.6.1: icmp_seq=33 ttl=63 time=0.052 ms
64 bytes from 10.10.6.1: icmp_seq=34 ttl=63 time=0.038 ms
64 bytes from 10.10.6.1: icmp_seq=35 ttl=63 time=0.084 ms
64 bytes from 10.10.6.1: icmp_seq=36 ttl=63 time=0.042 ms
64 bytes from 10.10.6.1: icmp_seq=37 ttl=63 time=0.085 ms
64 bytes from 10.10.6.1: icmp_seq=38 ttl=63 time=0.098 ms
64 bytes from 10.10.6.1: icmp_seq=39 ttl=63 time=0.047 ms
64 bytes from 10.10.6.1: icmp_seq=40 ttl=63 time=0.071 ms
64 bytes from 10.10.6.1: icmp_seq=41 ttl=63 time=0.040 ms
64 bytes from 10.10.6.1: icmp_seq=42 ttl=63 time=0.068 ms
64 bytes from 10.10.6.1: icmp_seq=43 ttl=63 time=0.250 ms
64 bytes from 10.10.6.1: icmp_seq=44 ttl=63 time=0.060 ms
64 bytes from 10.10.6.1: icmp_seq=45 ttl=63 time=0.037 ms
64 bytes from 10.10.6.1: icmp_seq=46 ttl=63 time=0.028 ms
64 bytes from 10.10.6.1: icmp_seq=47 ttl=63 time=0.045 ms
64 bytes from 10.10.6.1: icmp_seq=48 ttl=63 time=0.046 ms
64 bytes from 10.10.6.1: icmp_seq=49 ttl=63 time=0.159 ms
64 bytes from 10.10.6.1: icmp_seq=50 ttl=63 time=0.084 ms

--- 10.10.6.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49898ms
rtt min/avg/max/mdev = 0.026/602.995/5844.107/1611.383 ms, pipe 6
