PING 10.10.2.1 (10.10.2.1) 56(84) bytes of data.
64 bytes from 10.10.2.1: icmp_seq=1 ttl=63 time=5146 ms
64 bytes from 10.10.2.1: icmp_seq=4 ttl=63 time=2232 ms
64 bytes from 10.10.2.1: icmp_seq=7 ttl=63 time=0.067 ms
64 bytes from 10.10.2.1: icmp_seq=8 ttl=63 time=0.082 ms
64 bytes from 10.10.2.1: icmp_seq=3 ttl=63 time=5257 ms
64 bytes from 10.10.2.1: icmp_seq=5 ttl=63 time=3510 ms
64 bytes from 10.10.2.1: icmp_seq=9 ttl=63 time=0.121 ms
64 bytes from 10.10.2.1: icmp_seq=2 ttl=63 time=7169 ms
64 bytes from 10.10.2.1: icmp_seq=6 ttl=63 time=3159 ms
64 bytes from 10.10.2.1: icmp_seq=10 ttl=63 time=912 ms
64 bytes from 10.10.2.1: icmp_seq=11 ttl=63 time=0.114 ms
64 bytes from 10.10.2.1: icmp_seq=12 ttl=63 time=0.040 ms
64 bytes from 10.10.2.1: icmp_seq=13 ttl=63 time=0.096 ms
64 bytes from 10.10.2.1: icmp_seq=14 ttl=63 time=0.102 ms
64 bytes from 10.10.2.1: icmp_seq=15 ttl=63 time=0.061 ms
64 bytes from 10.10.2.1: icmp_seq=16 ttl=63 time=0.047 ms
64 bytes from 10.10.2.1: icmp_seq=17 ttl=63 time=0.355 ms
64 bytes from 10.10.2.1: icmp_seq=18 ttl=63 time=0.055 ms
64 bytes from 10.10.2.1: icmp_seq=19 ttl=63 time=0.040 ms
64 bytes from 10.10.2.1: icmp_seq=20 ttl=63 time=0.059 ms
64 bytes from 10.10.2.1: icmp_seq=21 ttl=63 time=0.072 ms
64 bytes from 10.10.2.1: icmp_seq=22 ttl=63 time=0.176 ms
64 bytes from 10.10.2.1: icmp_seq=23 ttl=63 time=0.038 ms
64 bytes from 10.10.2.1: icmp_seq=24 ttl=63 time=0.121 ms
64 bytes from 10.10.2.1: icmp_seq=25 ttl=63 time=0.042 ms
64 bytes from 10.10.2.1: icmp_seq=26 ttl=63 time=0.106 ms
64 bytes from 10.10.2.1: icmp_seq=27 ttl=63 time=0.135 ms
64 bytes from 10.10.2.1: icmp_seq=28 ttl=63 time=0.078 ms
64 bytes from 10.10.2.1: icmp_seq=29 ttl=63 time=0.063 ms
64 bytes from 10.10.2.1: icmp_seq=30 ttl=63 time=0.031 ms
64 bytes from 10.10.2.1: icmp_seq=31 ttl=63 time=0.152 ms
64 bytes from 10.10.2.1: icmp_seq=32 ttl=63 time=0.128 ms
64 bytes from 10.10.2.1: icmp_seq=33 ttl=63 time=0.033 ms
64 bytes from 10.10.2.1: icmp_seq=34 ttl=63 time=0.046 ms
64 bytes from 10.10.2.1: icmp_seq=35 ttl=63 time=0.038 ms
64 bytes from 10.10.2.1: icmp_seq=36 ttl=63 time=0.030 ms
64 bytes from 10.10.2.1: icmp_seq=37 ttl=63 time=0.039 ms
64 bytes from 10.10.2.1: icmp_seq=38 ttl=63 time=0.034 ms
64 bytes from 10.10.2.1: icmp_seq=39 ttl=63 time=0.066 ms
64 bytes from 10.10.2.1: icmp_seq=40 ttl=63 time=0.170 ms
64 bytes from 10.10.2.1: icmp_seq=41 ttl=63 time=0.035 ms
64 bytes from 10.10.2.1: icmp_seq=42 ttl=63 time=0.120 ms
64 bytes from 10.10.2.1: icmp_seq=43 ttl=63 time=0.071 ms
64 bytes from 10.10.2.1: icmp_seq=44 ttl=63 time=0.038 ms
64 bytes from 10.10.2.1: icmp_seq=45 ttl=63 time=0.052 ms
64 bytes from 10.10.2.1: icmp_seq=46 ttl=63 time=0.040 ms
64 bytes from 10.10.2.1: icmp_seq=47 ttl=63 time=0.053 ms
64 bytes from 10.10.2.1: icmp_seq=48 ttl=63 time=0.033 ms
64 bytes from 10.10.2.1: icmp_seq=49 ttl=63 time=0.033 ms
64 bytes from 10.10.2.1: icmp_seq=50 ttl=63 time=0.034 ms

--- 10.10.2.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50022ms
rtt min/avg/max/mdev = 0.030/547.833/7169.513/1540.419 ms, pipe 8
