PING 10.10.0.1 (10.10.0.1) 56(84) bytes of data.
64 bytes from 10.10.0.1: icmp_seq=1 ttl=63 time=4919 ms
64 bytes from 10.10.0.1: icmp_seq=6 ttl=63 time=0.078 ms
64 bytes from 10.10.0.1: icmp_seq=4 ttl=63 time=2714 ms
64 bytes from 10.10.0.1: icmp_seq=7 ttl=63 time=0.048 ms
64 bytes from 10.10.0.1: icmp_seq=8 ttl=63 time=0.144 ms
64 bytes from 10.10.0.1: icmp_seq=2 ttl=63 time=7097 ms
64 bytes from 10.10.0.1: icmp_seq=9 ttl=63 time=0.054 ms
64 bytes from 10.10.0.1: icmp_seq=5 ttl=63 time=4105 ms
64 bytes from 10.10.0.1: icmp_seq=3 ttl=63 time=6302 ms
64 bytes from 10.10.0.1: icmp_seq=10 ttl=63 time=935 ms
64 bytes from 10.10.0.1: icmp_seq=11 ttl=63 time=0.072 ms
64 bytes from 10.10.0.1: icmp_seq=12 ttl=63 time=0.317 ms
64 bytes from 10.10.0.1: icmp_seq=13 ttl=63 time=0.072 ms
64 bytes from 10.10.0.1: icmp_seq=14 ttl=63 time=0.100 ms
64 bytes from 10.10.0.1: icmp_seq=15 ttl=63 time=0.171 ms
64 bytes from 10.10.0.1: icmp_seq=16 ttl=63 time=0.036 ms
64 bytes from 10.10.0.1: icmp_seq=17 ttl=63 time=0.053 ms
64 bytes from 10.10.0.1: icmp_seq=18 ttl=63 time=0.026 ms
64 bytes from 10.10.0.1: icmp_seq=19 ttl=63 time=0.060 ms
64 bytes from 10.10.0.1: icmp_seq=20 ttl=63 time=0.030 ms
64 bytes from 10.10.0.1: icmp_seq=21 ttl=63 time=0.041 ms
64 bytes from 10.10.0.1: icmp_seq=22 ttl=63 time=0.069 ms
64 bytes from 10.10.0.1: icmp_seq=23 ttl=63 time=0.043 ms
64 bytes from 10.10.0.1: icmp_seq=24 ttl=63 time=0.040 ms
64 bytes from 10.10.0.1: icmp_seq=25 ttl=63 time=0.088 ms
64 bytes from 10.10.0.1: icmp_seq=26 ttl=63 time=0.115 ms
64 bytes from 10.10.0.1: icmp_seq=27 ttl=63 time=0.060 ms
64 bytes from 10.10.0.1: icmp_seq=28 ttl=63 time=0.061 ms
64 bytes from 10.10.0.1: icmp_seq=29 ttl=63 time=0.040 ms
64 bytes from 10.10.0.1: icmp_seq=30 ttl=63 time=0.048 ms
64 bytes from 10.10.0.1: icmp_seq=31 ttl=63 time=0.088 ms
64 bytes from 10.10.0.1: icmp_seq=32 ttl=63 time=0.067 ms
64 bytes from 10.10.0.1: icmp_seq=33 ttl=63 time=0.140 ms
64 bytes from 10.10.0.1: icmp_seq=34 ttl=63 time=0.120 ms
64 bytes from 10.10.0.1: icmp_seq=35 ttl=63 time=0.125 ms
64 bytes from 10.10.0.1: icmp_seq=36 ttl=63 time=0.036 ms
64 bytes from 10.10.0.1: icmp_seq=37 ttl=63 time=0.052 ms
64 bytes from 10.10.0.1: icmp_seq=38 ttl=63 time=0.086 ms
64 bytes from 10.10.0.1: icmp_seq=39 ttl=63 time=0.078 ms
64 bytes from 10.10.0.1: icmp_seq=40 ttl=63 time=0.114 ms
64 bytes from 10.10.0.1: icmp_seq=41 ttl=63 time=0.037 ms
64 bytes from 10.10.0.1: icmp_seq=42 ttl=63 time=0.678 ms
64 bytes from 10.10.0.1: icmp_seq=43 ttl=63 time=0.093 ms
64 bytes from 10.10.0.1: icmp_seq=44 ttl=63 time=0.065 ms
64 bytes from 10.10.0.1: icmp_seq=45 ttl=63 time=0.108 ms
64 bytes from 10.10.0.1: icmp_seq=46 ttl=63 time=0.038 ms
64 bytes from 10.10.0.1: icmp_seq=47 ttl=63 time=0.071 ms
64 bytes from 10.10.0.1: icmp_seq=48 ttl=63 time=0.048 ms
64 bytes from 10.10.0.1: icmp_seq=49 ttl=63 time=0.210 ms
64 bytes from 10.10.0.1: icmp_seq=50 ttl=63 time=0.097 ms

--- 10.10.0.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49908ms
rtt min/avg/max/mdev = 0.026/521.552/7097.095/1586.076 ms, pipe 7
