PING 10.10.6.1 (10.10.6.1) 56(84) bytes of data.
64 bytes from 10.10.6.1: icmp_seq=1 ttl=63 time=4715 ms
64 bytes from 10.10.6.1: icmp_seq=6 ttl=63 time=0.027 ms
64 bytes from 10.10.6.1: icmp_seq=4 ttl=63 time=2293 ms
64 bytes from 10.10.6.1: icmp_seq=7 ttl=63 time=0.027 ms
64 bytes from 10.10.6.1: icmp_seq=3 ttl=63 time=4396 ms
64 bytes from 10.10.6.1: icmp_seq=5 ttl=63 time=2944 ms
64 bytes from 10.10.6.1: icmp_seq=8 ttl=63 time=0.036 ms
64 bytes from 10.10.6.1: icmp_seq=2 ttl=63 time=6792 ms
64 bytes from 10.10.6.1: icmp_seq=9 ttl=63 time=0.044 ms
64 bytes from 10.10.6.1: icmp_seq=10 ttl=63 time=204 ms
64 bytes from 10.10.6.1: icmp_seq=11 ttl=63 time=0.116 ms
64 bytes from 10.10.6.1: icmp_seq=12 ttl=63 time=0.177 ms
64 bytes from 10.10.6.1: icmp_seq=13 ttl=63 time=0.230 ms
64 bytes from 10.10.6.1: icmp_seq=14 ttl=63 time=0.043 ms
64 bytes from 10.10.6.1: icmp_seq=15 ttl=63 time=0.095 ms
64 bytes from 10.10.6.1: icmp_seq=16 ttl=63 time=0.070 ms
64 bytes from 10.10.6.1: icmp_seq=17 ttl=63 time=0.077 ms
64 bytes from 10.10.6.1: icmp_seq=18 ttl=63 time=0.053 ms
64 bytes from 10.10.6.1: icmp_seq=19 ttl=63 time=0.039 ms
64 bytes from 10.10.6.1: icmp_seq=20 ttl=63 time=0.035 ms
64 bytes from 10.10.6.1: icmp_seq=21 ttl=63 time=0.040 ms
64 bytes from 10.10.6.1: icmp_seq=22 ttl=63 time=0.045 ms
64 bytes from 10.10.6.1: icmp_seq=23 ttl=63 time=0.100 ms
64 bytes from 10.10.6.1: icmp_seq=24 ttl=63 time=0.062 ms
64 bytes from 10.10.6.1: icmp_seq=25 ttl=63 time=0.064 ms
64 bytes from 10.10.6.1: icmp_seq=26 ttl=63 time=0.037 ms
64 bytes from 10.10.6.1: icmp_seq=27 ttl=63 time=0.044 ms
64 bytes from 10.10.6.1: icmp_seq=28 ttl=63 time=0.486 ms
64 bytes from 10.10.6.1: icmp_seq=29 ttl=63 time=0.074 ms
64 bytes from 10.10.6.1: icmp_seq=30 ttl=63 time=0.066 ms
64 bytes from 10.10.6.1: icmp_seq=31 ttl=63 time=0.221 ms
64 bytes from 10.10.6.1: icmp_seq=32 ttl=63 time=0.052 ms
64 bytes from 10.10.6.1: icmp_seq=33 ttl=63 time=0.037 ms
64 bytes from 10.10.6.1: icmp_seq=34 ttl=63 time=0.039 ms
64 bytes from 10.10.6.1: icmp_seq=35 ttl=63 time=0.041 ms
64 bytes from 10.10.6.1: icmp_seq=36 ttl=63 time=0.062 ms
64 bytes from 10.10.6.1: icmp_seq=37 ttl=63 time=0.138 ms
64 bytes from 10.10.6.1: icmp_seq=38 ttl=63 time=0.154 ms
64 bytes from 10.10.6.1: icmp_seq=39 ttl=63 time=0.051 ms
64 bytes from 10.10.6.1: icmp_seq=40 ttl=63 time=0.043 ms
64 bytes from 10.10.6.1: icmp_seq=41 ttl=63 time=0.053 ms
64 bytes from 10.10.6.1: icmp_seq=42 ttl=63 time=0.029 ms
64 bytes from 10.10.6.1: icmp_seq=43 ttl=63 time=0.117 ms
64 bytes from 10.10.6.1: icmp_seq=44 ttl=63 time=0.037 ms
64 bytes from 10.10.6.1: icmp_seq=45 ttl=63 time=0.093 ms
64 bytes from 10.10.6.1: icmp_seq=46 ttl=63 time=0.116 ms
64 bytes from 10.10.6.1: icmp_seq=47 ttl=63 time=0.102 ms
64 bytes from 10.10.6.1: icmp_seq=48 ttl=63 time=0.035 ms
64 bytes from 10.10.6.1: icmp_seq=49 ttl=63 time=0.050 ms
64 bytes from 10.10.6.1: icmp_seq=50 ttl=63 time=0.044 ms

--- 10.10.6.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49916ms
rtt min/avg/max/mdev = 0.027/427.012/6792.661/1360.561 ms, pipe 7
