PING 10.10.2.1 (10.10.2.1) 56(84) bytes of data.
64 bytes from 10.10.2.1: icmp_seq=1 ttl=63 time=380 ms
64 bytes from 10.10.2.1: icmp_seq=2 ttl=63 time=0.249 ms
64 bytes from 10.10.2.1: icmp_seq=3 ttl=63 time=0.247 ms
64 bytes from 10.10.2.1: icmp_seq=4 ttl=63 time=0.091 ms
64 bytes from 10.10.2.1: icmp_seq=5 ttl=63 time=0.073 ms
64 bytes from 10.10.2.1: icmp_seq=6 ttl=63 time=0.290 ms
64 bytes from 10.10.2.1: icmp_seq=7 ttl=63 time=0.170 ms
64 bytes from 10.10.2.1: icmp_seq=8 ttl=63 time=0.125 ms
64 bytes from 10.10.2.1: icmp_seq=9 ttl=63 time=0.022 ms
64 bytes from 10.10.2.1: icmp_seq=10 ttl=63 time=0.199 ms
64 bytes from 10.10.2.1: icmp_seq=11 ttl=63 time=0.031 ms
64 bytes from 10.10.2.1: icmp_seq=12 ttl=63 time=0.036 ms
64 bytes from 10.10.2.1: icmp_seq=13 ttl=63 time=0.186 ms
64 bytes from 10.10.2.1: icmp_seq=14 ttl=63 time=0.173 ms
64 bytes from 10.10.2.1: icmp_seq=15 ttl=63 time=0.157 ms
64 bytes from 10.10.2.1: icmp_seq=16 ttl=63 time=0.266 ms
64 bytes from 10.10.2.1: icmp_seq=17 ttl=63 time=0.046 ms
64 bytes from 10.10.2.1: icmp_seq=18 ttl=63 time=0.078 ms
64 bytes from 10.10.2.1: icmp_seq=19 ttl=63 time=0.048 ms
64 bytes from 10.10.2.1: icmp_seq=20 ttl=63 time=0.024 ms
64 bytes from 10.10.2.1: icmp_seq=21 ttl=63 time=0.023 ms
64 bytes from 10.10.2.1: icmp_seq=22 ttl=63 time=0.051 ms
64 bytes from 10.10.2.1: icmp_seq=23 ttl=63 time=0.262 ms
64 bytes from 10.10.2.1: icmp_seq=24 ttl=63 time=0.047 ms
64 bytes from 10.10.2.1: icmp_seq=25 ttl=63 time=0.049 ms
64 bytes from 10.10.2.1: icmp_seq=26 ttl=63 time=0.144 ms
64 bytes from 10.10.2.1: icmp_seq=27 ttl=63 time=0.116 ms
64 bytes from 10.10.2.1: icmp_seq=28 ttl=63 time=0.040 ms
64 bytes from 10.10.2.1: icmp_seq=29 ttl=63 time=0.079 ms
64 bytes from 10.10.2.1: icmp_seq=30 ttl=63 time=0.061 ms
64 bytes from 10.10.2.1: icmp_seq=31 ttl=63 time=0.053 ms
64 bytes from 10.10.2.1: icmp_seq=32 ttl=63 time=0.041 ms
64 bytes from 10.10.2.1: icmp_seq=33 ttl=63 time=0.262 ms
64 bytes from 10.10.2.1: icmp_seq=34 ttl=63 time=0.129 ms
64 bytes from 10.10.2.1: icmp_seq=35 ttl=63 time=0.193 ms
64 bytes from 10.10.2.1: icmp_seq=36 ttl=63 time=0.046 ms
64 bytes from 10.10.2.1: icmp_seq=37 ttl=63 time=0.071 ms
64 bytes from 10.10.2.1: icmp_seq=38 ttl=63 time=0.035 ms
64 bytes from 10.10.2.1: icmp_seq=39 ttl=63 time=0.030 ms
64 bytes from 10.10.2.1: icmp_seq=40 ttl=63 time=0.437 ms
64 bytes from 10.10.2.1: icmp_seq=41 ttl=63 time=0.030 ms
64 bytes from 10.10.2.1: icmp_seq=42 ttl=63 time=0.046 ms
64 bytes from 10.10.2.1: icmp_seq=43 ttl=63 time=0.108 ms
64 bytes from 10.10.2.1: icmp_seq=44 ttl=63 time=0.179 ms
64 bytes from 10.10.2.1: icmp_seq=45 ttl=63 time=0.097 ms
64 bytes from 10.10.2.1: icmp_seq=46 ttl=63 time=0.141 ms
64 bytes from 10.10.2.1: icmp_seq=47 ttl=63 time=0.041 ms
64 bytes from 10.10.2.1: icmp_seq=48 ttl=63 time=0.073 ms
64 bytes from 10.10.2.1: icmp_seq=49 ttl=63 time=0.083 ms
64 bytes from 10.10.2.1: icmp_seq=50 ttl=63 time=0.054 ms

--- 10.10.2.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50116ms
rtt min/avg/max/mdev = 0.022/7.726/380.799/53.296 ms
