PING 10.10.35.1 (10.10.35.1) 56(84) bytes of data.
64 bytes from 10.10.35.1: icmp_seq=1 ttl=64 time=835 ms
64 bytes from 10.10.35.1: icmp_seq=2 ttl=64 time=0.139 ms
64 bytes from 10.10.35.1: icmp_seq=3 ttl=64 time=0.071 ms
64 bytes from 10.10.35.1: icmp_seq=4 ttl=64 time=0.067 ms
64 bytes from 10.10.35.1: icmp_seq=5 ttl=64 time=0.045 ms
64 bytes from 10.10.35.1: icmp_seq=6 ttl=64 time=0.114 ms
64 bytes from 10.10.35.1: icmp_seq=7 ttl=64 time=0.045 ms
64 bytes from 10.10.35.1: icmp_seq=8 ttl=64 time=0.057 ms
64 bytes from 10.10.35.1: icmp_seq=9 ttl=64 time=0.076 ms
64 bytes from 10.10.35.1: icmp_seq=10 ttl=64 time=0.081 ms
64 bytes from 10.10.35.1: icmp_seq=11 ttl=64 time=0.056 ms
64 bytes from 10.10.35.1: icmp_seq=12 ttl=64 time=0.049 ms
64 bytes from 10.10.35.1: icmp_seq=13 ttl=64 time=0.024 ms
64 bytes from 10.10.35.1: icmp_seq=14 ttl=64 time=0.055 ms
64 bytes from 10.10.35.1: icmp_seq=15 ttl=64 time=0.077 ms
64 bytes from 10.10.35.1: icmp_seq=16 ttl=64 time=0.076 ms
64 bytes from 10.10.35.1: icmp_seq=17 ttl=64 time=0.092 ms
64 bytes from 10.10.35.1: icmp_seq=18 ttl=64 time=0.049 ms
64 bytes from 10.10.35.1: icmp_seq=19 ttl=64 time=0.031 ms
64 bytes from 10.10.35.1: icmp_seq=20 ttl=64 time=0.024 ms
64 bytes from 10.10.35.1: icmp_seq=21 ttl=64 time=0.021 ms
64 bytes from 10.10.35.1: icmp_seq=22 ttl=64 time=0.028 ms
64 bytes from 10.10.35.1: icmp_seq=23 ttl=64 time=0.069 ms
64 bytes from 10.10.35.1: icmp_seq=24 ttl=64 time=0.035 ms
64 bytes from 10.10.35.1: icmp_seq=25 ttl=64 time=0.029 ms
64 bytes from 10.10.35.1: icmp_seq=26 ttl=64 time=0.192 ms
64 bytes from 10.10.35.1: icmp_seq=27 ttl=64 time=0.070 ms
64 bytes from 10.10.35.1: icmp_seq=28 ttl=64 time=0.042 ms
64 bytes from 10.10.35.1: icmp_seq=29 ttl=64 time=0.091 ms
64 bytes from 10.10.35.1: icmp_seq=30 ttl=64 time=0.021 ms
64 bytes from 10.10.35.1: icmp_seq=31 ttl=64 time=0.037 ms
64 bytes from 10.10.35.1: icmp_seq=32 ttl=64 time=0.024 ms
64 bytes from 10.10.35.1: icmp_seq=33 ttl=64 time=0.026 ms
64 bytes from 10.10.35.1: icmp_seq=34 ttl=64 time=0.071 ms
64 bytes from 10.10.35.1: icmp_seq=35 ttl=64 time=0.048 ms
64 bytes from 10.10.35.1: icmp_seq=36 ttl=64 time=0.039 ms
64 bytes from 10.10.35.1: icmp_seq=37 ttl=64 time=0.026 ms
64 bytes from 10.10.35.1: icmp_seq=38 ttl=64 time=0.031 ms
64 bytes from 10.10.35.1: icmp_seq=39 ttl=64 time=0.025 ms
64 bytes from 10.10.35.1: icmp_seq=40 ttl=64 time=0.025 ms
64 bytes from 10.10.35.1: icmp_seq=41 ttl=64 time=0.063 ms
64 bytes from 10.10.35.1: icmp_seq=42 ttl=64 time=0.028 ms
64 bytes from 10.10.35.1: icmp_seq=43 ttl=64 time=0.072 ms
64 bytes from 10.10.35.1: icmp_seq=44 ttl=64 time=0.035 ms
64 bytes from 10.10.35.1: icmp_seq=45 ttl=64 time=0.023 ms
64 bytes from 10.10.35.1: icmp_seq=46 ttl=64 time=0.071 ms
64 bytes from 10.10.35.1: icmp_seq=47 ttl=64 time=0.053 ms
64 bytes from 10.10.35.1: icmp_seq=48 ttl=64 time=0.123 ms
64 bytes from 10.10.35.1: icmp_seq=49 ttl=64 time=0.157 ms
64 bytes from 10.10.35.1: icmp_seq=50 ttl=64 time=0.065 ms

--- 10.10.35.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49930ms
rtt min/avg/max/mdev = 0.021/16.774/835.838/117.009 ms
