PING 10.10.0.1 (10.10.0.1) 56(84) bytes of data.
64 bytes from 10.10.0.1: icmp_seq=1 ttl=63 time=1211 ms
64 bytes from 10.10.0.1: icmp_seq=2 ttl=63 time=471 ms
64 bytes from 10.10.0.1: icmp_seq=3 ttl=63 time=0.466 ms
64 bytes from 10.10.0.1: icmp_seq=4 ttl=63 time=0.026 ms
64 bytes from 10.10.0.1: icmp_seq=5 ttl=63 time=0.046 ms
64 bytes from 10.10.0.1: icmp_seq=6 ttl=63 time=0.027 ms
64 bytes from 10.10.0.1: icmp_seq=7 ttl=63 time=0.025 ms
64 bytes from 10.10.0.1: icmp_seq=8 ttl=63 time=0.053 ms
64 bytes from 10.10.0.1: icmp_seq=9 ttl=63 time=0.031 ms
64 bytes from 10.10.0.1: icmp_seq=10 ttl=63 time=0.173 ms
64 bytes from 10.10.0.1: icmp_seq=11 ttl=63 time=0.025 ms
64 bytes from 10.10.0.1: icmp_seq=12 ttl=63 time=0.029 ms
64 bytes from 10.10.0.1: icmp_seq=13 ttl=63 time=0.045 ms
64 bytes from 10.10.0.1: icmp_seq=14 ttl=63 time=0.044 ms
64 bytes from 10.10.0.1: icmp_seq=15 ttl=63 time=0.024 ms
64 bytes from 10.10.0.1: icmp_seq=16 ttl=63 time=0.022 ms
64 bytes from 10.10.0.1: icmp_seq=17 ttl=63 time=0.057 ms
64 bytes from 10.10.0.1: icmp_seq=18 ttl=63 time=0.234 ms
64 bytes from 10.10.0.1: icmp_seq=19 ttl=63 time=0.026 ms
64 bytes from 10.10.0.1: icmp_seq=20 ttl=63 time=0.025 ms
64 bytes from 10.10.0.1: icmp_seq=21 ttl=63 time=0.023 ms
64 bytes from 10.10.0.1: icmp_seq=22 ttl=63 time=0.025 ms
64 bytes from 10.10.0.1: icmp_seq=23 ttl=63 time=0.026 ms
64 bytes from 10.10.0.1: icmp_seq=24 ttl=63 time=0.024 ms
64 bytes from 10.10.0.1: icmp_seq=25 ttl=63 time=0.063 ms
64 bytes from 10.10.0.1: icmp_seq=26 ttl=63 time=0.036 ms
64 bytes from 10.10.0.1: icmp_seq=27 ttl=63 time=0.083 ms
64 bytes from 10.10.0.1: icmp_seq=28 ttl=63 time=0.098 ms
64 bytes from 10.10.0.1: icmp_seq=29 ttl=63 time=0.034 ms
64 bytes from 10.10.0.1: icmp_seq=30 ttl=63 time=0.048 ms
64 bytes from 10.10.0.1: icmp_seq=31 ttl=63 time=0.036 ms
64 bytes from 10.10.0.1: icmp_seq=32 ttl=63 time=0.101 ms
64 bytes from 10.10.0.1: icmp_seq=33 ttl=63 time=0.041 ms
64 bytes from 10.10.0.1: icmp_seq=34 ttl=63 time=0.097 ms
64 bytes from 10.10.0.1: icmp_seq=35 ttl=63 time=0.046 ms
64 bytes from 10.10.0.1: icmp_seq=36 ttl=63 time=0.043 ms
64 bytes from 10.10.0.1: icmp_seq=37 ttl=63 time=0.038 ms
64 bytes from 10.10.0.1: icmp_seq=38 ttl=63 time=0.197 ms
64 bytes from 10.10.0.1: icmp_seq=39 ttl=63 time=0.085 ms
64 bytes from 10.10.0.1: icmp_seq=40 ttl=63 time=0.051 ms
64 bytes from 10.10.0.1: icmp_seq=41 ttl=63 time=0.082 ms
64 bytes from 10.10.0.1: icmp_seq=42 ttl=63 time=0.105 ms
64 bytes from 10.10.0.1: icmp_seq=43 ttl=63 time=0.080 ms
64 bytes from 10.10.0.1: icmp_seq=44 ttl=63 time=0.033 ms
64 bytes from 10.10.0.1: icmp_seq=45 ttl=63 time=0.219 ms
64 bytes from 10.10.0.1: icmp_seq=46 ttl=63 time=0.033 ms
64 bytes from 10.10.0.1: icmp_seq=47 ttl=63 time=0.056 ms
64 bytes from 10.10.0.1: icmp_seq=48 ttl=63 time=0.059 ms
64 bytes from 10.10.0.1: icmp_seq=49 ttl=63 time=0.038 ms
64 bytes from 10.10.0.1: icmp_seq=50 ttl=63 time=0.028 ms

--- 10.10.0.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50143ms
rtt min/avg/max/mdev = 0.022/33.732/1211.730/180.764 ms, pipe 2
