PING 10.10.8.1 (10.10.8.1) 56(84) bytes of data.
64 bytes from 10.10.8.1: icmp_seq=1 ttl=63 time=1913 ms
64 bytes from 10.10.8.1: icmp_seq=3 ttl=63 time=0.680 ms
64 bytes from 10.10.8.1: icmp_seq=2 ttl=63 time=1222 ms
64 bytes from 10.10.8.1: icmp_seq=4 ttl=63 time=0.030 ms
64 bytes from 10.10.8.1: icmp_seq=5 ttl=63 time=0.181 ms
64 bytes from 10.10.8.1: icmp_seq=6 ttl=63 time=0.296 ms
64 bytes from 10.10.8.1: icmp_seq=7 ttl=63 time=0.098 ms
64 bytes from 10.10.8.1: icmp_seq=8 ttl=63 time=0.052 ms
64 bytes from 10.10.8.1: icmp_seq=9 ttl=63 time=0.038 ms
64 bytes from 10.10.8.1: icmp_seq=10 ttl=63 time=0.032 ms
64 bytes from 10.10.8.1: icmp_seq=11 ttl=63 time=0.035 ms
64 bytes from 10.10.8.1: icmp_seq=12 ttl=63 time=0.094 ms
64 bytes from 10.10.8.1: icmp_seq=13 ttl=63 time=0.116 ms
64 bytes from 10.10.8.1: icmp_seq=14 ttl=63 time=0.209 ms
64 bytes from 10.10.8.1: icmp_seq=15 ttl=63 time=0.058 ms
64 bytes from 10.10.8.1: icmp_seq=16 ttl=63 time=0.079 ms
64 bytes from 10.10.8.1: icmp_seq=17 ttl=63 time=0.043 ms
64 bytes from 10.10.8.1: icmp_seq=18 ttl=63 time=0.362 ms
64 bytes from 10.10.8.1: icmp_seq=19 ttl=63 time=0.033 ms
64 bytes from 10.10.8.1: icmp_seq=20 ttl=63 time=0.032 ms
64 bytes from 10.10.8.1: icmp_seq=21 ttl=63 time=0.036 ms
64 bytes from 10.10.8.1: icmp_seq=22 ttl=63 time=0.060 ms
64 bytes from 10.10.8.1: icmp_seq=23 ttl=63 time=0.024 ms
64 bytes from 10.10.8.1: icmp_seq=24 ttl=63 time=0.075 ms
64 bytes from 10.10.8.1: icmp_seq=25 ttl=63 time=0.073 ms
64 bytes from 10.10.8.1: icmp_seq=26 ttl=63 time=0.030 ms
64 bytes from 10.10.8.1: icmp_seq=27 ttl=63 time=0.057 ms
64 bytes from 10.10.8.1: icmp_seq=28 ttl=63 time=0.064 ms
64 bytes from 10.10.8.1: icmp_seq=29 ttl=63 time=0.139 ms
64 bytes from 10.10.8.1: icmp_seq=30 ttl=63 time=0.073 ms
64 bytes from 10.10.8.1: icmp_seq=31 ttl=63 time=0.030 ms
64 bytes from 10.10.8.1: icmp_seq=32 ttl=63 time=0.028 ms
64 bytes from 10.10.8.1: icmp_seq=33 ttl=63 time=0.030 ms
64 bytes from 10.10.8.1: icmp_seq=34 ttl=63 time=0.316 ms
64 bytes from 10.10.8.1: icmp_seq=35 ttl=63 time=0.063 ms
64 bytes from 10.10.8.1: icmp_seq=36 ttl=63 time=0.548 ms
64 bytes from 10.10.8.1: icmp_seq=37 ttl=63 time=0.096 ms
64 bytes from 10.10.8.1: icmp_seq=38 ttl=63 time=0.063 ms
64 bytes from 10.10.8.1: icmp_seq=39 ttl=63 time=0.044 ms
64 bytes from 10.10.8.1: icmp_seq=40 ttl=63 time=0.045 ms
64 bytes from 10.10.8.1: icmp_seq=41 ttl=63 time=0.048 ms
64 bytes from 10.10.8.1: icmp_seq=42 ttl=63 time=0.052 ms
64 bytes from 10.10.8.1: icmp_seq=43 ttl=63 time=0.124 ms
64 bytes from 10.10.8.1: icmp_seq=44 ttl=63 time=0.040 ms
64 bytes from 10.10.8.1: icmp_seq=45 ttl=63 time=0.110 ms
64 bytes from 10.10.8.1: icmp_seq=46 ttl=63 time=0.035 ms
64 bytes from 10.10.8.1: icmp_seq=47 ttl=63 time=0.060 ms
64 bytes from 10.10.8.1: icmp_seq=48 ttl=63 time=0.097 ms
64 bytes from 10.10.8.1: icmp_seq=49 ttl=63 time=0.098 ms
64 bytes from 10.10.8.1: icmp_seq=50 ttl=63 time=0.101 ms

--- 10.10.8.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50048ms
rtt min/avg/max/mdev = 0.024/62.822/1913.554/314.919 ms, pipe 2
