PING 10.10.11.1 (10.10.11.1) 56(84) bytes of data.
64 bytes from 10.10.11.1: icmp_seq=1 ttl=63 time=7223 ms
64 bytes from 10.10.11.1: icmp_seq=9 ttl=63 time=0.078 ms
64 bytes from 10.10.11.1: icmp_seq=5 ttl=63 time=4423 ms
64 bytes from 10.10.11.1: icmp_seq=2 ttl=63 time=8611 ms
64 bytes from 10.10.11.1: icmp_seq=3 ttl=63 time=7789 ms
64 bytes from 10.10.11.1: icmp_seq=6 ttl=63 time=6179 ms
64 bytes from 10.10.11.1: icmp_seq=7 ttl=63 time=6655 ms
64 bytes from 10.10.11.1: icmp_seq=4 ttl=63 time=10230 ms
64 bytes from 10.10.11.1: icmp_seq=8 ttl=63 time=6357 ms
64 bytes from 10.10.11.1: icmp_seq=13 ttl=63 time=2064 ms
64 bytes from 10.10.11.1: icmp_seq=14 ttl=63 time=1062 ms
64 bytes from 10.10.11.1: icmp_seq=15 ttl=63 time=61.6 ms
64 bytes from 10.10.11.1: icmp_seq=16 ttl=63 time=0.073 ms
64 bytes from 10.10.11.1: icmp_seq=17 ttl=63 time=0.834 ms
64 bytes from 10.10.11.1: icmp_seq=18 ttl=63 time=0.104 ms
64 bytes from 10.10.11.1: icmp_seq=19 ttl=63 time=0.030 ms
64 bytes from 10.10.11.1: icmp_seq=20 ttl=63 time=0.043 ms
64 bytes from 10.10.11.1: icmp_seq=21 ttl=63 time=0.044 ms
64 bytes from 10.10.11.1: icmp_seq=22 ttl=63 time=0.041 ms
64 bytes from 10.10.11.1: icmp_seq=23 ttl=63 time=0.061 ms
64 bytes from 10.10.11.1: icmp_seq=24 ttl=63 time=0.033 ms
64 bytes from 10.10.11.1: icmp_seq=25 ttl=63 time=0.030 ms
64 bytes from 10.10.11.1: icmp_seq=26 ttl=63 time=0.058 ms
64 bytes from 10.10.11.1: icmp_seq=27 ttl=63 time=0.024 ms
64 bytes from 10.10.11.1: icmp_seq=28 ttl=63 time=0.039 ms
64 bytes from 10.10.11.1: icmp_seq=29 ttl=63 time=0.042 ms
64 bytes from 10.10.11.1: icmp_seq=30 ttl=63 time=0.088 ms
64 bytes from 10.10.11.1: icmp_seq=31 ttl=63 time=0.124 ms
64 bytes from 10.10.11.1: icmp_seq=32 ttl=63 time=0.069 ms
64 bytes from 10.10.11.1: icmp_seq=33 ttl=63 time=0.124 ms
64 bytes from 10.10.11.1: icmp_seq=34 ttl=63 time=0.041 ms
64 bytes from 10.10.11.1: icmp_seq=35 ttl=63 time=0.061 ms
64 bytes from 10.10.11.1: icmp_seq=36 ttl=63 time=0.044 ms
64 bytes from 10.10.11.1: icmp_seq=37 ttl=63 time=0.031 ms
64 bytes from 10.10.11.1: icmp_seq=38 ttl=63 time=0.039 ms
64 bytes from 10.10.11.1: icmp_seq=39 ttl=63 time=0.082 ms
64 bytes from 10.10.11.1: icmp_seq=40 ttl=63 time=0.085 ms
64 bytes from 10.10.11.1: icmp_seq=41 ttl=63 time=0.057 ms
64 bytes from 10.10.11.1: icmp_seq=42 ttl=63 time=0.040 ms
64 bytes from 10.10.11.1: icmp_seq=43 ttl=63 time=0.096 ms
64 bytes from 10.10.11.1: icmp_seq=44 ttl=63 time=0.062 ms
64 bytes from 10.10.11.1: icmp_seq=45 ttl=63 time=0.040 ms
64 bytes from 10.10.11.1: icmp_seq=46 ttl=63 time=0.048 ms
64 bytes from 10.10.11.1: icmp_seq=47 ttl=63 time=0.041 ms
64 bytes from 10.10.11.1: icmp_seq=48 ttl=63 time=0.147 ms
64 bytes from 10.10.11.1: icmp_seq=49 ttl=63 time=0.110 ms
64 bytes from 10.10.11.1: icmp_seq=50 ttl=63 time=0.146 ms
