PING 10.10.9.1 (10.10.9.1) 56(84) bytes of data.
64 bytes from 10.10.9.1: icmp_seq=1 ttl=63 time=5492 ms
64 bytes from 10.10.9.1: icmp_seq=7 ttl=63 time=0.068 ms
64 bytes from 10.10.9.1: icmp_seq=4 ttl=63 time=3403 ms
64 bytes from 10.10.9.1: icmp_seq=8 ttl=63 time=0.061 ms
64 bytes from 10.10.9.1: icmp_seq=9 ttl=63 time=0.179 ms
64 bytes from 10.10.9.1: icmp_seq=5 ttl=63 time=4275 ms
64 bytes from 10.10.9.1: icmp_seq=3 ttl=63 time=7638 ms
64 bytes from 10.10.9.1: icmp_seq=6 ttl=63 time=5454 ms
64 bytes from 10.10.9.1: icmp_seq=2 ttl=63 time=9819 ms
64 bytes from 10.10.9.1: icmp_seq=13 ttl=63 time=2313 ms
64 bytes from 10.10.9.1: icmp_seq=14 ttl=63 time=1287 ms
64 bytes from 10.10.9.1: icmp_seq=15 ttl=63 time=264 ms
64 bytes from 10.10.9.1: icmp_seq=16 ttl=63 time=0.086 ms
64 bytes from 10.10.9.1: icmp_seq=17 ttl=63 time=0.241 ms
64 bytes from 10.10.9.1: icmp_seq=18 ttl=63 time=0.140 ms
64 bytes from 10.10.9.1: icmp_seq=19 ttl=63 time=0.061 ms
64 bytes from 10.10.9.1: icmp_seq=20 ttl=63 time=0.186 ms
64 bytes from 10.10.9.1: icmp_seq=21 ttl=63 time=0.164 ms
64 bytes from 10.10.9.1: icmp_seq=22 ttl=63 time=0.080 ms
64 bytes from 10.10.9.1: icmp_seq=23 ttl=63 time=0.060 ms
64 bytes from 10.10.9.1: icmp_seq=24 ttl=63 time=0.035 ms
64 bytes from 10.10.9.1: icmp_seq=25 ttl=63 time=0.034 ms
64 bytes from 10.10.9.1: icmp_seq=26 ttl=63 time=0.026 ms
64 bytes from 10.10.9.1: icmp_seq=27 ttl=63 time=0.044 ms
64 bytes from 10.10.9.1: icmp_seq=28 ttl=63 time=0.076 ms
64 bytes from 10.10.9.1: icmp_seq=29 ttl=63 time=0.035 ms
64 bytes from 10.10.9.1: icmp_seq=30 ttl=63 time=0.027 ms
64 bytes from 10.10.9.1: icmp_seq=31 ttl=63 time=0.032 ms
64 bytes from 10.10.9.1: icmp_seq=32 ttl=63 time=0.056 ms
64 bytes from 10.10.9.1: icmp_seq=33 ttl=63 time=0.105 ms
64 bytes from 10.10.9.1: icmp_seq=34 ttl=63 time=0.030 ms
64 bytes from 10.10.9.1: icmp_seq=35 ttl=63 time=0.054 ms
64 bytes from 10.10.9.1: icmp_seq=36 ttl=63 time=0.078 ms
64 bytes from 10.10.9.1: icmp_seq=37 ttl=63 time=0.061 ms
64 bytes from 10.10.9.1: icmp_seq=38 ttl=63 time=0.037 ms
64 bytes from 10.10.9.1: icmp_seq=39 ttl=63 time=0.052 ms
64 bytes from 10.10.9.1: icmp_seq=40 ttl=63 time=0.053 ms
64 bytes from 10.10.9.1: icmp_seq=41 ttl=63 time=0.484 ms
64 bytes from 10.10.9.1: icmp_seq=42 ttl=63 time=0.040 ms
64 bytes from 10.10.9.1: icmp_seq=43 ttl=63 time=0.050 ms
64 bytes from 10.10.9.1: icmp_seq=44 ttl=63 time=0.039 ms
64 bytes from 10.10.9.1: icmp_seq=45 ttl=63 time=0.045 ms
64 bytes from 10.10.9.1: icmp_seq=46 ttl=63 time=0.126 ms
64 bytes from 10.10.9.1: icmp_seq=47 ttl=63 time=0.036 ms
64 bytes from 10.10.9.1: icmp_seq=48 ttl=63 time=0.089 ms
64 bytes from 10.10.9.1: icmp_seq=49 ttl=63 time=0.087 ms
64 bytes from 10.10.9.1: icmp_seq=50 ttl=63 time=0.058 ms
