PING 10.10.8.1 (10.10.8.1) 56(84) bytes of data.
64 bytes from 10.10.8.1: icmp_seq=1 ttl=63 time=2359 ms
64 bytes from 10.10.8.1: icmp_seq=2 ttl=63 time=1535 ms
64 bytes from 10.10.8.1: icmp_seq=3 ttl=63 time=622 ms
64 bytes from 10.10.8.1: icmp_seq=4 ttl=63 time=0.055 ms
64 bytes from 10.10.8.1: icmp_seq=5 ttl=63 time=0.099 ms
64 bytes from 10.10.8.1: icmp_seq=6 ttl=63 time=0.028 ms
64 bytes from 10.10.8.1: icmp_seq=7 ttl=63 time=0.032 ms
64 bytes from 10.10.8.1: icmp_seq=8 ttl=63 time=0.052 ms
64 bytes from 10.10.8.1: icmp_seq=9 ttl=63 time=0.061 ms
64 bytes from 10.10.8.1: icmp_seq=10 ttl=63 time=0.030 ms
64 bytes from 10.10.8.1: icmp_seq=11 ttl=63 time=0.028 ms
64 bytes from 10.10.8.1: icmp_seq=12 ttl=63 time=0.028 ms
64 bytes from 10.10.8.1: icmp_seq=13 ttl=63 time=0.044 ms
64 bytes from 10.10.8.1: icmp_seq=14 ttl=63 time=0.059 ms
64 bytes from 10.10.8.1: icmp_seq=15 ttl=63 time=0.317 ms
64 bytes from 10.10.8.1: icmp_seq=16 ttl=63 time=0.033 ms
64 bytes from 10.10.8.1: icmp_seq=17 ttl=63 time=0.057 ms
64 bytes from 10.10.8.1: icmp_seq=18 ttl=63 time=0.215 ms
64 bytes from 10.10.8.1: icmp_seq=19 ttl=63 time=0.136 ms
64 bytes from 10.10.8.1: icmp_seq=20 ttl=63 time=0.123 ms
64 bytes from 10.10.8.1: icmp_seq=21 ttl=63 time=0.036 ms
64 bytes from 10.10.8.1: icmp_seq=22 ttl=63 time=0.032 ms
64 bytes from 10.10.8.1: icmp_seq=23 ttl=63 time=0.056 ms
64 bytes from 10.10.8.1: icmp_seq=24 ttl=63 time=0.029 ms
64 bytes from 10.10.8.1: icmp_seq=25 ttl=63 time=0.039 ms
64 bytes from 10.10.8.1: icmp_seq=26 ttl=63 time=0.037 ms
64 bytes from 10.10.8.1: icmp_seq=27 ttl=63 time=0.070 ms
64 bytes from 10.10.8.1: icmp_seq=28 ttl=63 time=0.103 ms
64 bytes from 10.10.8.1: icmp_seq=29 ttl=63 time=0.035 ms
64 bytes from 10.10.8.1: icmp_seq=30 ttl=63 time=0.038 ms
64 bytes from 10.10.8.1: icmp_seq=31 ttl=63 time=0.054 ms
64 bytes from 10.10.8.1: icmp_seq=32 ttl=63 time=0.028 ms
64 bytes from 10.10.8.1: icmp_seq=33 ttl=63 time=0.114 ms
64 bytes from 10.10.8.1: icmp_seq=34 ttl=63 time=0.197 ms
64 bytes from 10.10.8.1: icmp_seq=35 ttl=63 time=0.087 ms
64 bytes from 10.10.8.1: icmp_seq=36 ttl=63 time=0.084 ms
64 bytes from 10.10.8.1: icmp_seq=37 ttl=63 time=0.056 ms
64 bytes from 10.10.8.1: icmp_seq=38 ttl=63 time=0.067 ms
64 bytes from 10.10.8.1: icmp_seq=39 ttl=63 time=0.030 ms
64 bytes from 10.10.8.1: icmp_seq=40 ttl=63 time=0.046 ms
64 bytes from 10.10.8.1: icmp_seq=41 ttl=63 time=0.104 ms
64 bytes from 10.10.8.1: icmp_seq=42 ttl=63 time=0.090 ms
64 bytes from 10.10.8.1: icmp_seq=43 ttl=63 time=0.087 ms
64 bytes from 10.10.8.1: icmp_seq=44 ttl=63 time=0.077 ms
64 bytes from 10.10.8.1: icmp_seq=45 ttl=63 time=0.035 ms
64 bytes from 10.10.8.1: icmp_seq=46 ttl=63 time=0.050 ms
64 bytes from 10.10.8.1: icmp_seq=47 ttl=63 time=0.025 ms
64 bytes from 10.10.8.1: icmp_seq=48 ttl=63 time=0.051 ms
64 bytes from 10.10.8.1: icmp_seq=49 ttl=63 time=0.135 ms
64 bytes from 10.10.8.1: icmp_seq=50 ttl=63 time=0.056 ms

--- 10.10.8.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50010ms
rtt min/avg/max/mdev = 0.025/90.417/2359.658/397.588 ms, pipe 3
